IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",41,"1990",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",31.0733046943658
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",42,"1991",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",31.3579520867481
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",43,"1992",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",31.6714688881923
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",44,"1993",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",32.0069312647701
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",45,"1994",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",32.3467545251369
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",46,"1995",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",32.6733727576233
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",47,"1996",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",33.0084329317391
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",48,"1997",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",33.3701261259832
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",49,"1998",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",33.735287206036
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",50,"1999",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",34.0707879302487
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",51,"2000",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",34.3690402412949
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",52,"2001",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",34.6384585549108
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",53,"2002",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",34.8778024021162
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",54,"2003",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",35.0923213976335
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",55,"2004",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",35.2976930213728
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",56,"2005",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",35.4881821449969
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",57,"2006",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",35.6462854852538
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",58,"2007",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",35.7616936221654
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",59,"2008",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",35.8378898973327
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",60,"2009",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",35.9136539329683
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",61,"2010",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",36.0434064768997
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",62,"2011",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",36.1787956977854
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",63,"2012",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",36.2342592873759
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",64,"2013",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",36.2422748165957
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",65,"2014",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",36.2522451868231
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",66,"2015",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",36.2542288721404
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",67,"2016",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",36.2468671074585
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",68,"2017",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",36.2682490182939
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",69,"2018",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",36.3517105489611
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",70,"2019",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",36.5427894519395
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",71,"2020",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",36.8954824421424
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",72,"2021",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",37.2587328213142
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",73,"2022",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",37.5122219515252
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",74,"2023",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",37.7511864942514
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",75,"2024",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",38.0072267888067
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",41,"1990",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",34.5844330451308
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",42,"1991",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",34.5823629528566
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",43,"1992",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",34.6248269396198
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",44,"1993",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",34.7614625076405
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",45,"1994",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",35.0006665552426
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",46,"1995",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",35.3017369852539
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",47,"1996",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",35.6276635426049
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",48,"1997",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",35.9819612503256
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",49,"1998",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",36.3589669428878
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",50,"1999",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",36.7424069958628
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",51,"2000",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",37.140040908319
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",52,"2001",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",37.5534846120274
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",53,"2002",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",37.9223223765543
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",54,"2003",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",38.2538964747443
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",55,"2004",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",38.5861977660644
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",56,"2005",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",38.9238522495137
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",57,"2006",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",39.2981516669753
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",58,"2007",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",39.6851627465338
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",59,"2008",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",40.061993630427
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",60,"2009",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",40.4512862263157
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",61,"2010",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",40.8398533261889
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",62,"2011",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",41.2066254957028
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",63,"2012",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",41.513098427363
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",64,"2013",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",41.7593436455533
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",65,"2014",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",41.944806209686
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",66,"2015",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",41.9973109706317
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",67,"2016",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",42.0068190722829
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",68,"2017",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",42.1147014848718
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",69,"2018",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",42.2737889027906
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",70,"2019",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",42.4327450486761
67,"Median age of population","Median age of the total population","World Population Prospects",2024,"United Nations Population Division",40,"Austria","AT","AUT",71,"2020",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",42.5720505986691
