IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",41,"1990",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.427
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",42,"1991",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.207
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",43,"1992",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.041
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",44,"1993",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",0.928
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",45,"1994",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.031
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",46,"1995",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.168
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",47,"1996",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.14
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",48,"1997",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.03
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",49,"1998",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.086
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",50,"1999",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.129
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",51,"2000",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.21
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",52,"2001",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.211
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",53,"2002",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.15
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",54,"2003",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.124
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",55,"2004",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.156
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",56,"2005",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.301
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",57,"2006",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.594
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",58,"2007",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.908
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",59,"2008",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.023
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",60,"2009",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.802
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",61,"2010",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.466
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",62,"2011",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.565
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",63,"2012",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.724
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",64,"2013",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.607
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",36,"Australia","AU","AUS",65,"2014",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.463
